1778723053.982587433,32
1778723054.218839120,72
1778723054.615275167,37
1778723054.956289341,30
1778723055.317670494,18
1778723055.653405171,9
1778723055.978190864,13
1778723056.244472024,15
1778723056.568027652,17
1778723056.822002902,19
1778723057.046918593,21
1778723057.350354061,22
1778723057.603057275,24
1778723057.999234497,26
1778723058.255806136,27
1778723058.513798673,28
1778723058.748350783,29
1778723058.969109442,30
1778723059.244180447,31
1778723059.535318025,32
1778723059.789764693,33
1778723060.063034389,34
1778723060.265672284,35
1778723060.473652080,30
1778723060.689766203,17
1778723060.984835047,18
1778723061.175882779,20
1778723061.428196144,10
1778723061.685991503,11
1778723061.961928098,13
1778723062.194054762,14
1778723062.416781939,15
1778723062.692068176,16
1778723063.041737354,17
1778723063.231040992,18
1778723063.458138499,19
1778723063.623750598,20
1778723063.851466318,22
1778723064.081489014,22
1778723064.316646993,23
1778723064.553719659,24
1778723064.778223390,25
1778723064.994353079,21
1778723065.233796413,12
1778723065.476531105,13
1778723065.724151186,15
1778723065.972230720,16
1778723066.221419817,17
1778723066.466653419,18
1778723066.694421266,19
1778723066.950414936,10
1778723067.191850215,13
1778723067.451894181,15
1778723067.685076196,17
1778723068.045303270,19
1778723068.285487169,20
1778723068.468218846,20
1778723068.686500684,22
1778723068.990365337,11
1778723069.245208897,12
1778723069.518855528,13
1778723069.748388766,15
1778723069.966915611,16
1778723070.169897622,17
1778723070.360851647,17
1778723070.552099738,18
1778723070.785685884,20
1778723071.017556185,21
1778723071.260536115,23
1778723071.533803743,24
1778723071.762856760,25
1778723071.972300544,26
1778723072.192507286,27
1778723072.345924239,28
1778723072.532629774,29
1778723072.780230931,30
1778723073.007422675,31
1778723073.254973370,32
1778723073.556722571,33
1778723073.830438043,34
1778723074.080390371,35
1778723074.325475287,35
1778723074.573201656,18
1778723074.822488219,19
1778723075.070827088,21
1778723075.358446458,22
1778723075.645490262,24
1778723075.895140684,25
1778723076.132970450,26
1778723076.360734320,13
1778723076.598399151,14
1778723076.845404958,16
1778723077.112070177,17
1778723077.351732611,8
1778723077.622397277,10
1778723077.894745333,12
1778723078.215269625,13
1778723078.512647560,14
1778723078.789545341,16
1778723079.081056510,18
1778723079.306615393,19
1778723079.544111255,20
1778723079.817719471,21
1778723080.049440763,22
1778723080.286573890,19
1778723080.528531941,11
1778723080.775422213,12
1778723080.995250899,13
1778723081.244386400,14
1778723081.481579087,16
1778723081.840151651,18
1778723082.054867608,19
1778723082.304244829,20
1778723082.526761123,21
1778723082.771272713,15
1778723083.230363440,12
1778723083.496534013,13
1778723083.842352601,14
1778723084.085701757,9
1778723084.346630911,10
1778723084.615658510,13
1778723084.859205100,15
1778723085.108580027,17
1778723085.429559955,19
1778723085.665436556,20
1778723085.930983027,22
1778723086.157935754,23
1778723086.359181312,24
1778723086.549236330,25
1778723086.776595798,26
1778723086.982312823,27
1778723087.175850442,28
1778723087.374897547,29
1778723087.585104748,30
1778723087.802703431,31
1778723088.029205766,32
1778723088.277468205,33
1778723088.466687146,33
1778723088.700260532,34
1778723088.952888789,35
1778723089.157553439,28
1778723089.373938168,17
1778723089.562350064,8
1778723089.752834427,4
1778723089.941979549,5
1778723090.228770074,7
1778723090.467235520,8
1778723090.723054361,9
1778723090.993377540,10
1778723091.245225092,13
1778723091.495722895,14
1778723091.759402091,16
1778723091.965886339,17
1778723092.167549552,17
1778723092.359363414,18
1778723092.583000954,19
1778723092.791263958,20
1778723092.997558849,21
1778723093.282047051,21
1778723093.486302956,16
1778723093.667368681,11
1778723093.879688909,13
1778723094.089257612,14
1778723094.293110244,15
1778723094.461371503,16
1778723094.631171473,16
1778723094.830408196,17
1778723095.083117965,18
1778723095.331302355,9
1778723095.592051810,9
1778723095.858799882,10
1778723096.116944093,12
1778723096.354236099,14
1778723096.574522734,16
1778723096.813953097,18
1778723097.013182125,19
1778723097.190206609,20
1778723097.358196110,21
1778723097.532156091,22
1778723097.704917345,23
